id_transport_log,id_warehouse,id_store,id_suppliers,journey_status,ts_stock_shipped,ts_stock_received,ts_last_update,id_dim_date_stock_shipped,id_dim_date_stock_received,id_dim_date_last_update
42,WH01,ST101,2,On-Time,00:23:47,00:23:47,00:23:47,20251119,20251122,20251122
43,WH02,ST002,3,On-Time,00:24:22,00:24:22,00:24:22,20251119,20251122,20251122
44,WH02,ST102,4,On-Time,00:24:57,00:24:57,00:24:57,20251119,20251122,20251122
45,WH03,ST003,5,On-Time,00:25:32,00:25:32,00:25:32,20251119,20251122,20251122
46,WH03,ST103,6,On-Time,00:26:07,00:26:07,00:26:07,20251119,20251122,20251122
47,WH04,ST004,7,On-Time,00:26:41,00:26:41,00:26:41,20251119,20251122,20251122
48,WH04,ST104,8,On-Time,00:27:16,00:27:16,00:27:16,20251119,20251122,20251122
49,WH05,ST005,9,On-Time,00:27:51,00:27:51,00:27:51,20251119,20251122,20251122
50,WH05,ST105,10,On-Time,00:28:26,00:28:26,00:28:26,20251119,20251122,20251122
51,WH06,ST006,11,On-Time,00:29:01,00:29:01,00:29:01,20251119,20251122,20251122
52,WH06,ST106,12,On-Time,00:29:36,00:29:36,00:29:36,20251119,20251122,20251122
53,WH07,ST007,13,On-Time,00:30:10,00:30:10,00:30:10,20251119,20251122,20251122
54,WH07,ST107,14,On-Time,00:30:45,00:30:45,00:30:45,20251119,20251122,20251122
55,WH08,ST008,15,On-Time,00:31:20,00:31:20,00:31:20,20251119,20251122,20251122
56,WH08,ST108,16,On-Time,00:31:55,00:31:55,00:31:55,20251119,20251122,20251122
57,WH09,ST009,17,On-Time,00:32:30,00:32:30,00:32:30,20251119,20251122,20251122
58,WH09,ST109,18,On-Time,00:33:04,00:33:04,00:33:04,20251119,20251122,20251122
59,WH10,ST010,19,On-Time,00:33:39,00:33:39,00:33:39,20251119,20251122,20251122
60,WH10,ST110,20,Late,00:34:14,00:34:14,00:34:14,20251119,20251123,20251123
61,WH11,ST011,1,On-Time,00:34:49,00:34:49,00:34:49,20251119,20251122,20251122
62,WH11,ST111,2,On-Time,00:35:24,00:35:24,00:35:24,20251119,20251122,20251122
63,WH12,ST012,3,On-Time,00:35:59,00:35:59,00:35:59,20251119,20251122,20251122
64,WH12,ST112,4,On-Time,00:36:33,00:36:33,00:36:33,20251119,20251122,20251122
65,WH13,ST013,5,On-Time,00:37:08,00:37:08,00:37:08,20251119,20251122,20251122
66,WH13,ST113,6,Late,00:37:43,00:37:43,00:37:43,20251119,20251123,20251123
67,WH14,ST014,7,On-Time,00:38:18,00:38:18,00:38:18,20251119,20251122,20251122
68,WH14,ST114,8,On-Time,00:38:53,00:38:53,00:38:53,20251119,20251122,20251122
69,WH15,ST015,9,On-Time,00:39:28,00:39:28,00:39:28,20251119,20251122,20251122
70,WH15,ST115,10,Late,00:40:02,00:40:02,00:40:02,20251119,20251123,20251123
71,WH16,ST016,11,On-Time,00:40:37,00:40:37,00:40:37,20251119,20251122,20251122
72,WH16,ST116,12,On-Time,00:41:12,00:41:12,00:41:12,20251119,20251122,20251122
73,WH17,ST017,13,On-Time,00:41:47,00:41:47,00:41:47,20251119,20251122,20251122
74,WH17,ST117,14,On-Time,00:42:22,00:42:22,00:42:22,20251119,20251122,20251122
75,WH18,ST018,15,On-Time,00:42:56,00:42:56,00:42:56,20251119,20251122,20251122
76,WH18,ST118,16,Late,00:43:31,00:43:31,00:43:31,20251119,20251123,20251123
77,WH19,ST019,17,On-Time,00:44:06,00:44:06,00:44:06,20251119,20251122,20251122
78,WH19,ST119,18,On-Time,00:44:41,00:44:41,00:44:41,20251119,20251122,20251122
79,WH20,ST020,19,On-Time,00:45:16,00:45:16,00:45:16,20251119,20251122,20251122
80,WH20,ST120,20,On-Time,00:45:51,00:45:51,00:45:51,20251119,20251122,20251122
81,WH01,ST001,1,On-Time,00:46:25,00:46:25,00:46:25,20251119,20251122,20251122
82,WH01,ST101,2,On-Time,00:47:00,00:47:00,00:47:00,20251119,20251122,20251122
83,WH02,ST002,3,On-Time,00:47:35,00:47:35,00:47:35,20251119,20251122,20251122
84,WH02,ST102,4,On-Time,00:48:10,00:48:10,00:48:10,20251119,20251122,20251122
85,WH03,ST003,5,On-Time,00:48:45,00:48:45,00:48:45,20251119,20251122,20251122
86,WH03,ST103,6,On-Time,00:49:20,00:49:20,00:49:20,20251119,20251122,20251122
87,WH04,ST004,7,On-Time,00:49:54,00:49:54,00:49:54,20251119,20251122,20251122
88,WH04,ST104,8,On-Time,00:50:29,00:50:29,00:50:29,20251119,20251122,20251122
89,WH05,ST005,9,On-Time,00:51:04,00:51:04,00:51:04,20251119,20251122,20251122
90,WH05,ST105,10,On-Time,00:51:39,00:51:39,00:51:39,20251119,20251122,20251122
91,WH06,ST006,11,On-Time,00:52:14,00:52:14,00:52:14,20251119,20251122,20251122
92,WH06,ST106,12,On-Time,00:52:49,00:52:49,00:52:49,20251119,20251122,20251122
93,WH07,ST007,13,On-Time,00:53:23,00:53:23,00:53:23,20251119,20251122,20251122
94,WH07,ST107,14,On-Time,00:53:58,00:53:58,00:53:58,20251119,20251122,20251122
95,WH08,ST008,15,Late,00:54:33,00:54:33,00:54:33,20251119,20251123,20251123
96,WH08,ST108,16,On-Time,00:55:08,00:55:08,00:55:08,20251119,20251122,20251122
97,WH09,ST009,17,On-Time,00:55:43,00:55:43,00:55:43,20251119,20251122,20251122
98,WH09,ST109,18,On-Time,00:56:17,00:56:17,00:56:17,20251119,20251122,20251122
99,WH10,ST010,19,On-Time,00:56:52,00:56:52,00:56:52,20251119,20251122,20251122
100,WH10,ST110,20,On-Time,00:57:27,00:57:27,00:57:27,20251119,20251122,20251122
101,WH11,ST011,1,On-Time,00:58:02,00:58:02,00:58:02,20251119,20251122,20251122
102,WH11,ST111,2,On-Time,00:58:37,00:58:37,00:58:37,20251119,20251122,20251122
103,WH12,ST012,3,On-Time,00:59:12,00:59:12,00:59:12,20251119,20251122,20251122
104,WH12,ST112,4,On-Time,00:59:46,00:59:46,00:59:46,20251119,20251122,20251122
105,WH13,ST013,5,Late,01:00:21,01:00:21,01:00:21,20251119,20251123,20251123
106,WH13,ST113,6,On-Time,01:00:56,01:00:56,01:00:56,20251119,20251122,20251122
107,WH14,ST014,7,Late,01:01:31,01:01:31,01:01:31,20251119,20251124,20251124
108,WH14,ST114,8,On-Time,01:02:06,01:02:06,01:02:06,20251119,20251122,20251122
109,WH15,ST015,9,On-Time,01:02:41,01:02:41,01:02:41,20251119,20251122,20251122
110,WH15,ST115,10,On-Time,01:03:15,01:03:15,01:03:15,20251119,20251122,20251122
111,WH16,ST016,11,On-Time,01:03:50,01:03:50,01:03:50,20251119,20251122,20251122
112,WH16,ST116,12,On-Time,01:04:25,01:04:25,01:04:25,20251119,20251122,20251122
113,WH17,ST017,13,On-Time,01:05:00,01:05:00,01:05:00,20251119,20251122,20251122
114,WH17,ST117,14,On-Time,01:05:35,01:05:35,01:05:35,20251119,20251122,20251122
115,WH18,ST018,15,On-Time,01:06:09,01:06:09,01:06:09,20251119,20251122,20251122
116,WH18,ST118,16,Late,01:06:44,01:06:44,01:06:44,20251119,20251123,20251123
117,WH19,ST019,17,On-Time,01:07:19,01:07:19,01:07:19,20251119,20251122,20251122
118,WH19,ST119,18,Late,01:07:54,01:07:54,01:07:54,20251119,20251123,20251123
119,WH20,ST020,19,On-Time,01:08:29,01:08:29,01:08:29,20251119,20251122,20251122
120,WH20,ST120,20,On-Time,01:09:04,01:09:04,01:09:04,20251119,20251122,20251122
121,WH01,ST001,1,On-Time,01:09:38,01:09:38,01:09:38,20251119,20251122,20251122
122,WH01,ST101,2,Late,01:10:13,01:10:13,01:10:13,20251119,20251123,20251123
123,WH02,ST002,3,Late,01:10:48,01:10:48,01:10:48,20251119,20251124,20251124
124,WH02,ST102,4,On-Time,01:11:23,01:11:23,01:11:23,20251119,20251122,20251122
125,WH03,ST003,5,On-Time,01:11:58,01:11:58,01:11:58,20251119,20251122,20251122
126,WH03,ST103,6,On-Time,01:12:33,01:12:33,01:12:33,20251119,20251122,20251122
127,WH04,ST004,7,On-Time,01:13:07,01:13:07,01:13:07,20251119,20251122,20251122
128,WH04,ST104,8,On-Time,01:13:42,01:13:42,01:13:42,20251119,20251122,20251122
129,WH05,ST005,9,Late,01:14:17,01:14:17,01:14:17,20251119,20251123,20251123
130,WH05,ST105,10,On-Time,01:14:52,01:14:52,01:14:52,20251119,20251122,20251122
131,WH06,ST006,11,Late,01:15:27,01:15:27,01:15:27,20251119,20251124,20251124
132,WH06,ST106,12,On-Time,01:16:01,01:16:01,01:16:01,20251119,20251122,20251122
133,WH07,ST007,13,On-Time,01:16:36,01:16:36,01:16:36,20251119,20251122,20251122
134,WH07,ST107,14,On-Time,01:17:11,01:17:11,01:17:11,20251119,20251122,20251122
135,WH08,ST008,15,On-Time,01:17:46,01:17:46,01:17:46,20251119,20251122,20251122
136,WH08,ST108,16,On-Time,01:18:21,01:18:21,01:18:21,20251119,20251122,20251122
137,WH09,ST009,17,On-Time,01:18:56,01:18:56,01:18:56,20251119,20251122,20251122
138,WH09,ST109,18,On-Time,01:19:30,01:19:30,01:19:30,20251119,20251122,20251122
139,WH10,ST010,19,Late,01:20:05,01:20:05,01:20:05,20251119,20251123,20251123
140,WH10,ST110,20,On-Time,01:20:40,01:20:40,01:20:40,20251119,20251122,20251122
141,WH11,ST011,1,On-Time,01:21:15,01:21:15,01:21:15,20251119,20251122,20251122
142,WH11,ST111,2,On-Time,01:21:50,01:21:50,01:21:50,20251119,20251122,20251122
143,WH12,ST012,3,On-Time,01:22:25,01:22:25,01:22:25,20251119,20251122,20251122
144,WH12,ST112,4,On-Time,01:22:59,01:22:59,01:22:59,20251119,20251122,20251122
145,WH13,ST013,5,On-Time,01:23:34,01:23:34,01:23:34,20251119,20251122,20251122
146,WH13,ST113,6,On-Time,01:24:09,01:24:09,01:24:09,20251119,20251122,20251122
147,WH14,ST014,7,On-Time,01:24:44,01:24:44,01:24:44,20251119,20251122,20251122
148,WH14,ST114,8,On-Time,01:25:19,01:25:19,01:25:19,20251119,20251122,20251122
149,WH15,ST015,9,On-Time,01:25:53,01:25:53,01:25:53,20251119,20251122,20251122
150,WH15,ST115,10,Late,01:26:28,01:26:28,01:26:28,20251119,20251123,20251123
151,WH16,ST016,11,On-Time,01:27:03,01:27:03,01:27:03,20251119,20251122,20251122
152,WH16,ST116,12,On-Time,01:27:38,01:27:38,01:27:38,20251119,20251122,20251122
153,WH17,ST017,13,On-Time,01:28:13,01:28:13,01:28:13,20251119,20251122,20251122
154,WH17,ST117,14,On-Time,01:28:48,01:28:48,01:28:48,20251119,20251122,20251122
155,WH18,ST018,15,On-Time,01:29:22,01:29:22,01:29:22,20251119,20251122,20251122
156,WH18,ST118,16,On-Time,01:29:57,01:29:57,01:29:57,20251119,20251122,20251122
157,WH19,ST019,17,On-Time,01:30:32,01:30:32,01:30:32,20251119,20251122,20251122
158,WH19,ST119,18,On-Time,01:31:07,01:31:07,01:31:07,20251119,20251122,20251122
159,WH20,ST020,19,Late,01:31:42,01:31:42,01:31:42,20251119,20251123,20251123
160,WH20,ST120,20,Late,01:32:17,01:32:17,01:32:17,20251119,20251123,20251123
161,WH01,ST001,1,On-Time,01:32:51,01:32:51,01:32:51,20251119,20251122,20251122
162,WH01,ST101,2,On-Time,01:33:26,01:33:26,01:33:26,20251119,20251122,20251122
163,WH02,ST002,3,On-Time,01:34:01,01:34:01,01:34:01,20251119,20251122,20251122
164,WH02,ST102,4,On-Time,01:34:36,01:34:36,01:34:36,20251119,20251122,20251122
165,WH03,ST003,5,On-Time,01:35:11,01:35:11,01:35:11,20251119,20251122,20251122
166,WH03,ST103,6,On-Time,01:35:46,01:35:46,01:35:46,20251119,20251122,20251122
167,WH04,ST004,7,On-Time,01:36:20,01:36:20,01:36:20,20251119,20251122,20251122
168,WH04,ST104,8,On-Time,01:36:55,01:36:55,01:36:55,20251119,20251122,20251122
169,WH05,ST005,9,On-Time,01:37:30,01:37:30,01:37:30,20251119,20251122,20251122
170,WH05,ST105,10,On-Time,01:38:05,01:38:05,01:38:05,20251119,20251122,20251122
171,WH06,ST006,11,On-Time,01:38:40,01:38:40,01:38:40,20251119,20251122,20251122
172,WH06,ST106,12,On-Time,01:39:14,01:39:14,01:39:14,20251119,20251122,20251122
173,WH07,ST007,13,On-Time,01:39:49,01:39:49,01:39:49,20251119,20251122,20251122
174,WH07,ST107,14,On-Time,01:40:24,01:40:24,01:40:24,20251119,20251122,20251122
175,WH08,ST008,15,On-Time,01:40:59,01:40:59,01:40:59,20251119,20251122,20251122
176,WH08,ST108,16,On-Time,01:41:34,01:41:34,01:41:34,20251119,20251122,20251122
177,WH09,ST009,17,On-Time,01:42:09,01:42:09,01:42:09,20251119,20251122,20251122
178,WH09,ST109,18,On-Time,01:42:43,01:42:43,01:42:43,20251119,20251122,20251122
179,WH10,ST010,19,On-Time,01:43:18,01:43:18,01:43:18,20251119,20251122,20251122
180,WH10,ST110,20,On-Time,01:43:53,01:43:53,01:43:53,20251119,20251122,20251122
181,WH11,ST011,1,On-Time,01:44:28,01:44:28,01:44:28,20251119,20251122,20251122
182,WH11,ST111,2,On-Time,01:45:03,01:45:03,01:45:03,20251119,20251122,20251122
183,WH12,ST012,3,On-Time,01:45:38,01:45:38,01:45:38,20251119,20251122,20251122
184,WH12,ST112,4,On-Time,01:46:12,01:46:12,01:46:12,20251119,20251122,20251122
185,WH13,ST013,5,On-Time,01:46:47,01:46:47,01:46:47,20251119,20251122,20251122
186,WH13,ST113,6,On-Time,01:47:22,01:47:22,01:47:22,20251119,20251122,20251122
187,WH14,ST014,7,On-Time,01:47:57,01:47:57,01:47:57,20251119,20251122,20251122
188,WH14,ST114,8,On-Time,01:48:32,01:48:32,01:48:32,20251119,20251122,20251122
189,WH15,ST015,9,On-Time,01:49:06,01:49:06,01:49:06,20251119,20251122,20251122
190,WH15,ST115,10,On-Time,01:49:41,01:49:41,01:49:41,20251119,20251122,20251122
191,WH16,ST016,11,On-Time,01:50:16,01:50:16,01:50:16,20251119,20251122,20251122
192,WH16,ST116,12,On-Time,01:50:51,01:50:51,01:50:51,20251119,20251122,20251122
193,WH17,ST017,13,On-Time,01:51:26,01:51:26,01:51:26,20251119,20251122,20251122
194,WH17,ST117,14,On-Time,01:52:01,01:52:01,01:52:01,20251119,20251122,20251122
195,WH18,ST018,15,On-Time,01:52:35,01:52:35,01:52:35,20251119,20251122,20251122
196,WH18,ST118,16,On-Time,01:53:10,01:53:10,01:53:10,20251119,20251122,20251122
197,WH19,ST019,17,On-Time,01:53:45,01:53:45,01:53:45,20251119,20251122,20251122
198,WH19,ST119,18,On-Time,01:54:20,01:54:20,01:54:20,20251119,20251122,20251122
199,WH20,ST020,19,On-Time,01:54:55,01:54:55,01:54:55,20251119,20251122,20251122
200,WH20,ST120,20,On-Time,01:55:30,01:55:30,01:55:30,20251119,20251122,20251122
201,WH01,ST001,1,On-Time,01:56:04,01:56:04,01:56:04,20251119,20251122,20251122
202,WH01,ST101,2,On-Time,01:56:39,01:56:39,01:56:39,20251119,20251122,20251122
203,WH02,ST002,3,On-Time,01:57:14,01:57:14,01:57:14,20251119,20251122,20251122
204,WH02,ST102,4,On-Time,01:57:49,01:57:49,01:57:49,20251119,20251122,20251122
205,WH03,ST003,5,On-Time,01:58:24,01:58:24,01:58:24,20251119,20251122,20251122
206,WH03,ST103,6,On-Time,01:58:58,01:58:58,01:58:58,20251119,20251122,20251122
207,WH04,ST004,7,On-Time,01:59:33,01:59:33,01:59:33,20251119,20251122,20251122
208,WH04,ST104,8,On-Time,02:00:08,02:00:08,02:00:08,20251119,20251122,20251122
209,WH05,ST005,9,On-Time,02:00:43,02:00:43,02:00:43,20251119,20251122,20251122
210,WH05,ST105,10,On-Time,02:01:18,02:01:18,02:01:18,20251119,20251122,20251122
211,WH06,ST006,11,On-Time,02:01:53,02:01:53,02:01:53,20251119,20251122,20251122
212,WH06,ST106,12,On-Time,02:02:27,02:02:27,02:02:27,20251119,20251122,20251122
213,WH07,ST007,13,On-Time,02:03:02,02:03:02,02:03:02,20251119,20251122,20251122
214,WH07,ST107,14,On-Time,02:03:37,02:03:37,02:03:37,20251119,20251122,20251122
215,WH08,ST008,15,On-Time,02:04:12,02:04:12,02:04:12,20251119,20251122,20251122
216,WH08,ST108,16,On-Time,02:04:47,02:04:47,02:04:47,20251119,20251122,20251122
217,WH09,ST009,17,On-Time,02:05:22,02:05:22,02:05:22,20251119,20251122,20251122
218,WH09,ST109,18,On-Time,02:05:56,02:05:56,02:05:56,20251119,20251122,20251122
219,WH10,ST010,19,On-Time,02:06:31,02:06:31,02:06:31,20251119,20251122,20251122
220,WH10,ST110,20,On-Time,02:07:06,02:07:06,02:07:06,20251119,20251122,20251122
221,WH11,ST011,1,On-Time,02:07:41,02:07:41,02:07:41,20251119,20251122,20251122
222,WH11,ST111,2,On-Time,02:08:16,02:08:16,02:08:16,20251119,20251122,20251122
223,WH12,ST012,3,On-Time,02:08:50,02:08:50,02:08:50,20251119,20251122,20251122
224,WH12,ST112,4,On-Time,02:09:25,02:09:25,02:09:25,20251119,20251122,20251122
225,WH13,ST013,5,On-Time,02:10:00,02:10:00,02:10:00,20251119,20251122,20251122
226,WH13,ST113,6,On-Time,02:10:35,02:10:35,02:10:35,20251119,20251122,20251122
227,WH14,ST014,7,On-Time,02:11:10,02:11:10,02:11:10,20251119,20251122,20251122
228,WH14,ST114,8,On-Time,02:11:45,02:11:45,02:11:45,20251119,20251122,20251122
229,WH15,ST015,9,On-Time,02:12:19,02:12:19,02:12:19,20251119,20251122,20251122
230,WH15,ST115,10,On-Time,02:12:54,02:12:54,02:12:54,20251119,20251122,20251122
231,WH16,ST016,11,On-Time,02:13:29,02:13:29,02:13:29,20251119,20251122,20251122
232,WH16,ST116,12,On-Time,02:14:04,02:14:04,02:14:04,20251119,20251122,20251122
233,WH17,ST017,13,On-Time,02:14:39,02:14:39,02:14:39,20251119,20251122,20251122
234,WH17,ST117,14,On-Time,02:15:14,02:15:14,02:15:14,20251119,20251122,20251122
235,WH18,ST018,15,On-Time,02:15:48,02:15:48,02:15:48,20251119,20251122,20251122
236,WH18,ST118,16,On-Time,02:16:23,02:16:23,02:16:23,20251119,20251122,20251122
237,WH19,ST019,17,On-Time,02:16:58,02:16:58,02:16:58,20251119,20251122,20251122
238,WH19,ST119,18,On-Time,02:17:33,02:17:33,02:17:33,20251119,20251122,20251122
239,WH20,ST020,19,Late,02:18:08,02:18:08,02:18:08,20251119,20251123,20251123
240,WH20,ST120,20,On-Time,02:18:42,02:18:42,02:18:42,20251119,20251122,20251122
241,WH01,ST001,1,On-Time,02:19:17,02:19:17,02:19:17,20251119,20251122,20251122
242,WH01,ST101,2,On-Time,02:19:52,02:19:52,02:19:52,20251119,20251122,20251122
243,WH02,ST002,3,On-Time,02:20:27,02:20:27,02:20:27,20251119,20251122,20251122
244,WH02,ST102,4,On-Time,02:21:02,02:21:02,02:21:02,20251119,20251122,20251122
245,WH03,ST003,5,On-Time,02:21:37,02:21:37,02:21:37,20251119,20251122,20251122
246,WH03,ST103,6,On-Time,02:22:11,02:22:11,02:22:11,20251119,20251122,20251122
247,WH04,ST004,7,On-Time,02:22:46,02:22:46,02:22:46,20251119,20251122,20251122
248,WH04,ST104,8,On-Time,02:23:21,02:23:21,02:23:21,20251119,20251122,20251122
249,WH05,ST005,9,On-Time,02:23:56,02:23:56,02:23:56,20251119,20251122,20251122
250,WH05,ST105,10,On-Time,02:24:31,02:24:31,02:24:31,20251119,20251122,20251122
251,WH06,ST006,11,Late,02:25:06,02:25:06,02:25:06,20251119,20251123,20251123
252,WH06,ST106,12,On-Time,02:25:40,02:25:40,02:25:40,20251119,20251122,20251122
253,WH07,ST007,13,Late,02:26:15,02:26:15,02:26:15,20251119,20251123,20251123
254,WH07,ST107,14,On-Time,02:26:50,02:26:50,02:26:50,20251119,20251122,20251122
255,WH08,ST008,15,On-Time,02:27:25,02:27:25,02:27:25,20251119,20251122,20251122
256,WH08,ST108,16,On-Time,02:28:00,02:28:00,02:28:00,20251119,20251122,20251122
257,WH09,ST009,17,On-Time,02:28:35,02:28:35,02:28:35,20251119,20251122,20251122
258,WH09,ST109,18,On-Time,02:29:09,02:29:09,02:29:09,20251119,20251122,20251122
259,WH10,ST010,19,On-Time,02:29:44,02:29:44,02:29:44,20251119,20251122,20251122
260,WH10,ST110,20,On-Time,02:30:19,02:30:19,02:30:19,20251119,20251122,20251122
261,WH11,ST011,1,On-Time,02:30:54,02:30:54,02:30:54,20251119,20251122,20251122
262,WH11,ST111,2,Late,02:31:29,02:31:29,02:31:29,20251119,20251123,20251123
263,WH12,ST012,3,On-Time,02:32:03,02:32:03,02:32:03,20251119,20251122,20251122
264,WH12,ST112,4,On-Time,02:32:38,02:32:38,02:32:38,20251119,20251122,20251122
265,WH13,ST013,5,On-Time,02:33:13,02:33:13,02:33:13,20251119,20251122,20251122
266,WH13,ST113,6,On-Time,02:33:48,02:33:48,02:33:48,20251119,20251122,20251122
267,WH14,ST014,7,On-Time,02:34:23,02:34:23,02:34:23,20251119,20251122,20251122
268,WH14,ST114,8,On-Time,02:34:58,02:34:58,02:34:58,20251119,20251122,20251122
269,WH15,ST015,9,On-Time,02:35:32,02:35:32,02:35:32,20251119,20251122,20251122
270,WH15,ST115,10,On-Time,02:36:07,02:36:07,02:36:07,20251119,20251122,20251122
271,WH16,ST016,11,On-Time,02:36:42,02:36:42,02:36:42,20251119,20251122,20251122
272,WH16,ST116,12,On-Time,02:37:17,02:37:17,02:37:17,20251119,20251122,20251122
273,WH17,ST017,13,On-Time,02:37:52,02:37:52,02:37:52,20251119,20251122,20251122
274,WH17,ST117,14,On-Time,02:38:27,02:38:27,02:38:27,20251119,20251122,20251122
275,WH18,ST018,15,On-Time,02:39:01,02:39:01,02:39:01,20251119,20251122,20251122
276,WH18,ST118,16,Late,02:39:36,02:39:36,02:39:36,20251119,20251123,20251123
277,WH19,ST019,17,On-Time,02:40:11,02:40:11,02:40:11,20251119,20251122,20251122
278,WH19,ST119,18,On-Time,02:40:46,02:40:46,02:40:46,20251119,20251122,20251122
279,WH20,ST020,19,On-Time,02:41:21,02:41:21,02:41:21,20251119,20251122,20251122
280,WH20,ST120,20,On-Time,02:41:55,02:41:55,02:41:55,20251119,20251122,20251122
281,WH01,ST001,1,On-Time,02:42:30,02:42:30,02:42:30,20251119,20251122,20251122
282,WH01,ST101,2,On-Time,02:43:05,02:43:05,02:43:05,20251119,20251122,20251122
283,WH02,ST002,3,On-Time,02:43:40,02:43:40,02:43:40,20251119,20251122,20251122
284,WH02,ST102,4,On-Time,02:44:15,02:44:15,02:44:15,20251119,20251122,20251122
285,WH03,ST003,5,Late,02:44:50,02:44:50,02:44:50,20251119,20251123,20251123
286,WH03,ST103,6,On-Time,02:45:24,02:45:24,02:45:24,20251119,20251122,20251122
287,WH04,ST004,7,On-Time,02:45:59,02:45:59,02:45:59,20251119,20251122,20251122
288,WH04,ST104,8,On-Time,02:46:34,02:46:34,02:46:34,20251119,20251122,20251122
289,WH05,ST005,9,On-Time,02:47:09,02:47:09,02:47:09,20251119,20251122,20251122
290,WH05,ST105,10,On-Time,02:47:44,02:47:44,02:47:44,20251119,20251122,20251122
291,WH06,ST006,11,On-Time,02:48:19,02:48:19,02:48:19,20251119,20251122,20251122
292,WH06,ST106,12,On-Time,02:48:53,02:48:53,02:48:53,20251119,20251122,20251122
293,WH07,ST007,13,On-Time,02:49:28,02:49:28,02:49:28,20251119,20251122,20251122
294,WH07,ST107,14,On-Time,02:50:03,02:50:03,02:50:03,20251119,20251122,20251122
295,WH08,ST008,15,On-Time,02:50:38,02:50:38,02:50:38,20251119,20251122,20251122
